fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,Nov,15,KARNATAKA,1510,CHITRADURGA,3887134,346.238861363299,42,391,8619.87752716801,47441,0,29138,4560322,895321,89149,1078328,88013,630.88326,25040.367754468,108107,180357,174315,418582,547,333835,782151,76579,15789.6069673,2501292,68,29,42.15,101.15,NA
2024-2025,Nov,15,KARNATAKA,1512,DAVANAGERE,2474082,339.02422202095,33,242,4127.885147248,14863,0,10524,1805145,455698,64869,319994,44080,604.19898,10851.9629198481,53552,91775,120261,281576,321,238856,522572,25387,6119.87879260008,956552,76,37.02,32.21,99.92,NA
2024-2025,Nov,15,KARNATAKA,1513,DHARWAR,1956631,344.036298170499,35,182,3441.139429127,24923,0,22871,1461164,126491,19252,92488,14956,355.85154,8823.92550492699,41724,73153,83937,218898,180,170538,404797,47794,5026.93453579999,677210,76,36.44,28.57,100.07,NA
2024-2025,Nov,15,KARNATAKA,1516,HASSAN,3496751,344.676700061102,37,449,4490.94542343501,22113,2,28001,2839495,403092,69541,44575,6933,709.02253,14987.045617835,76545,140902,163406,403070,477,280994,648752,50114,9787.07766439999,1443740,79,55.81,19.53,100.03,NA
2024-2025,Nov,15,KARNATAKA,1525,TUMAKURU,3689990,347.494633509803,41,524,8128.21292937,55539,0,40424,4312953,602340,80198,355561,41114,847.64941,23963.14256017,103593,181029,214449,509798,1139,400134,882561,95963,14987.2802208,2213737,83,38.67,32.48,99.93,NA
2024-2025,Nov,15,KARNATAKA,1526,UDUPI,580757,347.123110390537,35,40,1491.996590356,10590,0,8875,525815,23699,6174,20615,6293,177.95221,3495.174183256,14739,24846,45992,109761,153,124162,252593,19465,1825.2253829,338471,90,68.42,6.06,99.94,NA
2024-2025,Dec,15,KARNATAKA,1504,BELAGAVI,10379142,332.389390261595,34,2379,8385.640012216,36457,0,55345,7727855,869486,101887,775181,80910,1417.84125,35490.0513770162,222805,325873,406175,884053,1279,825504,1681068,91802,25686.5701148002,4494632,54,22.05,35.78,100.19,NA
2024-2025,Dec,15,KARNATAKA,1511,DAKSHINA KANNADA,1204219,342.618577794855,43,51,976.290556154999,11609,0,11387,887488,45539,10703,51355,10688,292.26749,4309.256809855,20341,34769,66103,153743,271,170662,358719,22996,3040.6987637,460489,91,72.83,3.49,99.96,NA
2024-2025,Dec,15,KARNATAKA,1515,KALABURAGI,4779953,326.772370951107,26,566,4711.117819782,31633,0,32105,3882172,967830,137834,85724,10841,628.53187,18025.515178582,144427,243198,245138,533559,228,425725,884898,63738,12685.8654888,2140994,65,32.13,49.89,99.9,NA
2024-2025,Dec,15,KARNATAKA,1518,KODAGU,428988,333.852514295027,37,95,424.86256767,4343,1,3386,355893,30968,6993,17258,3689,159.74328,1772.76357637,9430,15695,28410,67100,45,87929,190684,7729,1188.1577287,183734,79,52.68,17.46,99.98,NA
2024-2025,Dec,15,KARNATAKA,1520,KOPPAL,6666172,307.608605495925,35,3270,3710.38983814201,21785,0,25670,6422821,1117295,98226,938962,80359,835.75125,24303.2911997414,179756,372898,224694,577632,489,321816,837162,47455,19757.1501115994,3379659,59,28.52,57.16,99.88,NA
2024-2025,Dec,15,KARNATAKA,1524,SHIVAMOGGA,2424119,326.999871692304,26,478,2380.894037892,14689,0,10400,1846187,419960,83969,100545,18638,472.85558,8890.778739092,70737,120109,145920,373590,149,248436,570041,25089,6037.0291212,1009283,76,38.14,40.16,100.07,NA
2024-2025,Dec,15,KARNATAKA,1525,TUMAKURU,4052708,347.892652326197,41,527,8128.21292937,56138,0,40222,4367453,610140,80280,359854,41154,847.64941,24169.9104201701,104397,182547,214663,510261,1160,400221,882666,96360,15194.0480808,2241606,83,38.73,32.47,99.92,NA
2024-2025,Dec,15,KARNATAKA,1526,UDUPI,639209,347.416201800198,35,40,1491.996590356,10866,0,8816,532497,24029,6182,20929,6297,197.03433,3539.011772456,14829,25007,46025,109837,157,124206,252679,19682,1849.9808521,342613,90,68.46,6,99.94,NA
2024-2025,Dec,15,KARNATAKA,1529,RAMANAGARA,3570787,347.651482258142,44,272,6622.79465234797,32561,1,25942,2894624,408043,50271,45659,5221,460.70689,17146.7047841479,65364,107463,141269,312251,437,201240,428168,58503,10063.2032417999,1548976,83,44.17,26.26,99.94,NA
2024-2025,Sep,15,KARNATAKA,1524,SHIVAMOGGA,1947123,325.168390155163,23,390,1205.111256091,8434,0,15243,1479801,342952,83266,80538,18541,295.50556,6312.461905291,62333,104690,144860,371063,79,247914,568971,23677,4811.8450892,817501,76,34.2,46.94,99.96,NA
2024-2025,Sep,15,KARNATAKA,1525,TUMAKURU,2784264,346.182048252676,32,393,4920.457624468,36579,0,47481,2556252,354845,78418,214460,40264,496.80204,14266.545196568,78937,135298,209706,499549,382,398067,878783,84060,8849.2855321,1316243,84,40.17,36.75,99.78,NA
2024-2025,Sep,15,KARNATAKA,1501,BAGALKOTE,3164678,321.273572513892,28,1770,1788.399713676,8116,0,18794,2304786,387717,58526,195584,25850,447.14518,9640.21321467603,81918,138355,152212,335213,151,273903,555228,26910,7404.66832100003,1281880,57,33.2,50.91,99.81,NA
