fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,Sep,15,KARNATAKA,1503,BENGALURU RURAL,907958,348.960312044221,38,380,1213.204149244,3980,0,9543,897501,128165,25005,52214,8267,213.29207,4558.418509444,23080,38557,58115,136135,114,120366,262364,13523,3131.9222902,464407,65,47.77,15.83,99.84,NA
2024-2025,Sep,15,KARNATAKA,1506,BIDAR,3287774,344.340841181844,36,458,4198.460299444,16748,0,46447,3854553,900929,79172,696726,53226,401.48989,17872.750413444,104349,161682,154278,304382,174,254712,477525,63195,13272.800224,2097756,60,38.75,31.44,99.73,NA
2024-2025,Sep,15,KARNATAKA,1509,CHIKKAMAGALURU,1591131,342.944472842212,36,119,2626.969196078,10961,0,18958,1418304,204836,41593,44991,8297,427.74651,7918.710882178,39329,69809,90499,221664,210,177740,397543,29919,4863.9951761,779109,71,40.23,22.99,99.84,NA
2024-2025,Sep,15,KARNATAKA,1515,KALABURAGI,4087037,323.256297063049,23,533,2572.375458639,16992,0,36651,3290453,826080,138257,72880,10889,416.90874,13625.880723039,139145,233405,244573,535097,68,424853,885989,53643,10636.5965244,1838621,63,26.3,59.52,99.85,NA
2024-2025,Sep,15,KARNATAKA,1523,RAICHUR,7802531,272.618414206158,38,1020,2889.228938754,15850,0,34099,8772395,1544078,124161,2091285,153349,504.27552,27308.6685956543,226054,443968,281524,654463,516,371449,833793,49949,23915.1641369003,4596322,55,21.55,63.05,99.84,NA
2024-2025,Sep,15,KARNATAKA,1527,UTTARA KANNADA,1016899,344.15151261553,27,99,1046.030750969,7210,0,21413,889380,53246,14670,35716,7976,270.57729,4377.422763869,32624,54212,87249,219104,38,204223,452019,28623,3060.8147229,485739,79,31.37,28.2,99.93,NA
2024-2025,Sep,15,KARNATAKA,1529,RAMANAGARA,2557035,346.123435879811,36,215,3575.76703980399,21634,1,30870,1993600,285050,50348,32740,5240,304.06155,10780.1454075039,54274,87729,140570,312655,192,200959,429555,52504,6900.31681769992,1067418,82,42.85,28.88,99.85,NA
2024-2025,Sep,15,KARNATAKA,1507,VIJAYPURA,2640621,344.446370731853,30,1056,1682.330131616,9507,1,38839,2147331,386151,66446,40062,5901,475.77119,9554.505018716,69821,106426,152616,326796,314,349132,771470,48346,7396.4036971,1165340,71,57.21,27.78,99.87,NA
2024-2025,Sep,15,KARNATAKA,1512,DAVANAGERE,1962721,338.254121456449,29,206,2106.962934451,9809,0,13839,1450133,376670,64820,275962,44022,321.92011,7334.01768355105,48356,82116,119437,280822,168,238548,523000,23648,4905.13463910005,781655,76,33.42,39.95,99.85,NA
2024-2025,Sep,15,KARNATAKA,1514,GADAG,2385828,330.884931952665,29,1092,1276.509516321,11186,0,12521,2499657,389104,55958,211264,25871,309.66239,9857.16026982104,86071,182207,122292,311181,64,164815,393546,23707,8270.98836350003,1242516,65,14.92,73.38,99.88,NA
2024-2025,Aug,15,KARNATAKA,1505,BALLARI,5013458,280.180501073286,48,2014,888.038119991,2901,0,14364,4884076,965986,69928,1526447,98078,298.86786,14871.1345895911,99829,215816,115707,333547,640,169606,479250,17265,13684.2286096001,2649158,42,37.4,35.83,99.91,NA
2024-2025,Aug,15,KARNATAKA,1516,HASSAN,2404139,342.58234229376,30,357,1874.695056804,12718,2,29006,1871042,263264,68573,30301,6841,421.19274,8705.74730570401,62022,112618,161298,398442,121,280725,648979,41724,6409.85950890001,957855,77,52.68,23.14,99.97,NA
2024-2025,Aug,15,KARNATAKA,1526,UDUPI,444536,347.018063887054,32,35,590.361165689,4649,0,13458,419459,18513,6088,15981,6188,134.16806,2180.127726289,12924,21561,45304,108131,108,123507,251251,18107,1455.5985006,271064,90,69.47,6.78,99.96,NA
2024-2025,Aug,15,KARNATAKA,1530,Yadgir,2354527,331.410365238529,24,469,436.774043556,17749,0,26091,1924441,364131,65231,234621,35993,0,6814.57099045599,79381,121207,153023,304000,38,273082,542317,43840,6377.79694689999,1045763,79,42.88,50.84,99.91,NA
2024-2025,Aug,15,KARNATAKA,1501,BAGALKOTE,2766276,321.522069205714,26,1715,1584.850233131,7555,0,18827,2105982,341102,58291,179124,25815,446.22541,8802.27254663088,79021,132880,151818,334353,83,273577,554569,26382,6771.19690349988,1177262,57,32.73,51.04,99.89,NA
2024-2025,Aug,15,KARNATAKA,1503,BENGALURU RURAL,755942,341.128649382725,36,361,739.425353545001,3637,0,9489,800049,114002,24880,46191,8239,182.2926,3650.914301645,21852,36326,57876,135566,87,120225,262060,13126,2729.1963481,413908,65,46.6,16.17,99.92,NA
2024-2025,Aug,15,KARNATAKA,1511,DAKSHINA KANNADA,712259,345.246475286745,35,39,357.030593879,6479,0,12921,524071,27731,10400,30731,10421,188.23935,2354.606599379,14562,24433,64233,149827,100,169897,357290,19400,1809.3366555,275934,90,71.4,2.75,99.96,NA
2024-2025,Aug,15,KARNATAKA,1512,DAVANAGERE,1605631,336.560041596338,29,200,2106.962934451,9467,0,13817,1389305,362440,64932,266730,44234,321.92011,7104.728530351,47300,80120,119319,281271,149,238531,523737,23284,4675.8454859,750655,76,32.23,41.13,99.94,NA
2024-2025,Aug,15,KARNATAKA,1513,DHARWAR,1381457,344.850225075268,28,154,1046.525113187,9185,1,33793,1036631,88573,19380,66837,14933,212.45352,4833.802969887,36065,62664,83278,218812,54,170199,405848,42978,3574.8243367,485939,74,36.75,30.35,100.03,NA
2024-2025,Aug,15,KARNATAKA,1520,KOPPAL,5236020,305.593511500334,31,3136,1172.405257647,12916,0,27042,5572749,981356,98378,832214,80782,534.30882,18736.6734338467,174563,360771,223534,578253,188,324851,847228,39958,17029.9593561997,2950510,56,27.76,61.85,99.91,NA
2024-2025,Aug,15,KARNATAKA,1523,RAICHUR,7372385,270.400783082619,37,1003,2372.55774809601,14156,0,34709,8392716,1480696,124009,1996419,153229,447.46327,25513.9908039962,222857,438166,281089,653851,447,370876,832967,48865,22693.9697859002,4403373,54,20.61,64.02,99.89,NA
2024-2025,Aug,15,KARNATAKA,1511,DAKSHINA KANNADA,712259,344.746784706209,35,39,357.030593879,6445,0,12935,522565,27676,10398,30675,10419,188.23935,2346.795979379,14540,24393,64221,149795,101,169889,357266,19380,1801.5260355,275170,90,71.36,2.75,99.96,NA
2024-2025,Aug,15,KARNATAKA,1515,KALABURAGI,3870498,321.861364264001,22,518,2097.297804863,14154,1,38204,3130787,789435,139407,68682,10933,416.90874,12591.000295263,137116,229743,244270,538281,51,424480,889137,52358,10076.7937504,1757523,63,24.43,61.38,99.88,NA
2024-2025,Aug,15,KARNATAKA,1526,UDUPI,444536,348.156693086226,32,35,590.361165689,4549,0,13532,415475,18345,6079,15832,6187,114.20359,2151.068776289,12863,21453,45280,108068,105,123504,251241,18081,1446.5040206,268682,90,69.54,6.73,99.96,NA
2024-2025,Aug,15,KARNATAKA,1528,CHIKKABALLAPURA,1708529,336.480070232966,27,1448,1669.972498355,7236,0,27994,1066166,216829,76308,143914,46493,250.7229,5508.131503955,38790,64474,131184,330195,61,222686,537137,35230,3587.4361056,569739,77,41.98,24.34,100.05,NA
2024-2025,Aug,15,KARNATAKA,1530,Yadgir,2354527,333.714646552071,23,464,436.774043556,17687,0,25852,1884436,357429,65211,229704,35983,0,6725.41298045599,78632,119800,152951,303843,35,273039,542192,43539,6288.63893689999,1025518,79,42.59,51.08,99.91,NA
2024-2025,July,15,KARNATAKA,1501,BAGALKOTE,2355461,318.962951182683,23,1600,1436.587183335,6840,0,18718,1785596,290188,57954,137080,25660,324.88923,7456.86611113495,74517,124897,151223,332618,45,272882,552781,25558,5695.38969779995,1001295,56,32.3,52.47,99.86,NA
2024-2025,July,15,KARNATAKA,1503,BENGALURU RURAL,598361,344.25966808045,32,335,576.852321601001,2966,0,9650,641541,92643,24730,38607,8196,180.9426,2966.361838801,19891,32757,57543,134809,48,120044,261669,12616,2208.5669172,330503,64,47.79,15.92,99.89,NA
2024-2025,July,15,KARNATAKA,1507,VIJAYPURA,1897615,340.568464386843,25,934,1515.178239957,7124,1,38133,1598749,291878,66058,30439,5839,382.70798,7342.721138657,61973,93581,151490,324396,95,347516,768460,45257,5444.8349187,879086,70,55.54,30.81,99.85,NA
2024-2025,July,15,KARNATAKA,1513,DHARWAR,1182442,342.638961236817,26,149,954.907289677001,7915,1,34503,914347,78867,19329,58800,14887,178.68865,4266.505002577,34309,59395,83065,218328,19,170036,405568,42418,3132.9090629,430039,74,38.15,33.01,99.94,NA
2024-2025,July,15,KARNATAKA,1514,GADAG,2006215,329.558504331869,28,1060,1133.448280087,10136,0,12594,2373802,364756,56412,200935,26021,224.09806,9180.61270708698,84426,178927,122355,312990,48,164787,395249,22730,7823.06636699998,1171206,64,13.12,79.09,99.88,NA
2024-2025,July,15,KARNATAKA,1516,HASSAN,1922434,337.45055168975,26,314,1668.242860061,10899,2,27926,1486107,215585,68196,24044,6810,335.33441,7018.453540261,55255,99363,160497,396432,45,280453,648287,38825,5014.8762702,762771,76,52.42,24.38,99.93,NA
2024-2025,July,15,KARNATAKA,1519,KOLAR,1711500,340.977426479739,31,269,1244.415769718,8329,0,27826,1486563,386693,85121,93107,21862,257.73108,6570.991110118,47255,72454,126154,317506,82,239292,578765,36155,5068.8442604,796122,63,39.67,33.43,99.87,NA
2024-2025,July,15,KARNATAKA,1523,RAICHUR,6835843,269.416221914423,34,978,2039.07331292,13293,0,34309,7342425,1296031,123881,1754724,153047,434.23751,22254.9948548201,215689,423253,279981,652281,184,369998,831707,47602,19781.6840319001,3862340,54,19.07,70.65,99.85,NA
2024-2025,July,15,KARNATAKA,1525,TUMAKURU,1710977,344.962603631723,25,313,3857.203614065,27407,0,50387,1542023,218593,77566,135431,39862,418.27984,9594.886143465,60672,102072,207341,494912,70,397433,878438,77794,5319.4026894,796952,84,39.41,37.04,99.75,NA
2024-2025,July,15,KARNATAKA,1527,UTTARA KANNADA,788567,341.096735000262,25,92,628.070192997,4719,0,22751,762680,45054,14579,29593,7947,193.0934,3422.640171497,29752,49153,86583,217539,17,204073,451736,27470,2601.4765785,416472,78,30.18,32.55,99.94,NA
2024-2025,July,15,KARNATAKA,1503,BENGALURU RURAL,598361,345.987396852397,33,338,576.852321601001,2996,0,9742,676070,96980,24775,39609,8201,180.9426,3096.911915501,20370,33619,57624,134999,53,120083,261764,12738,2339.1169939,348837,64,46.45,16.22,99.9,NA
2024-2025,July,15,KARNATAKA,1504,BELAGAVI,6060735,331.340491053474,28,2065,3117.56774598,22632,0,62982,5656553,647489,101566,560484,81274,709.76399,22569.78222288,195271,281228,403066,882376,465,823761,1683804,85614,18742.4504869,3402881,52,19.41,43.94,100.01,NA
2024-2025,July,15,KARNATAKA,1506,BIDAR,2610102,342.921889091659,33,417,2756.74482354501,14463,0,45094,3348080,792455,78819,607415,52981,315.90749,14553.951497845,99696,153777,153198,302391,99,253274,475022,59557,11481.2991843,1825019,61,41.29,37.07,99.66,NA
2024-2025,July,15,KARNATAKA,1510,CHITRADURGA,2245168,343.728294515196,28,304,3286.405195436,17660,0,32342,2331642,466344,88328,615739,86865,272.37862,11573.297096236,83092,135056,170849,413460,61,332399,782404,50002,8014.51328079999,1272451,60,26.95,49.86,101.4,NA
2024-2025,July,15,KARNATAKA,1519,KOLAR,1711500,342.771495473452,32,272,1244.415769718,8508,0,27831,1556263,405680,85209,96689,21868,257.73108,6836.57280831801,48256,74155,126221,317731,89,239365,578934,36339,5334.42595860001,833673,63,39.02,32.29,99.9,NA
2024-2025,July,15,KARNATAKA,1522,MYSURU,956629,344.764161591925,28,96,927.027275762998,12625,0,34279,943562,168049,69766,111753,41431,240.02259,4420.113484163,33555,58698,140747,360824,95,345828,845843,46904,3253.0636184,487897,80,33.57,25.42,99.99,NA
2024-2025,July,15,KARNATAKA,1530,Yadgir,1895360,333.342818575166,22,433,390.250747307,16548,0,25502,1638381,307942,64960,193155,35837,0,5851.676151707,73645,111747,152493,302720,23,272536,541022,42050,5461.4254044,901201,79,40.7,54.37,99.86,NA
2024-2025,Aug,15,KARNATAKA,1502,BENGALURU,41899,320.790075012562,29,10,24.959513226,670,4,2019,27862,5551,2690,481,276,26.67756,141.015603926,930,1559,5881,13465,8,62692,140542,2689,89.3785307,15727,85,51.28,22.26,100.31,NA
2024-2025,Aug,15,KARNATAKA,1504,BELAGAVI,6923185,332.510442105036,30,2138,3515.012572038,24821,0,61547,6126802,696033,101628,605631,81286,944.86447,24832.1334591382,202292,292672,403585,882541,617,824110,1683215,86368,20372.2564171002,3646461,53,19.45,41.01,100.05,NA
2024-2025,Aug,15,KARNATAKA,1508,CHAMARAJA NAGARA,1370352,347.930497749927,27,335,1059.645658593,10713,0,22997,1298624,410525,79148,115808,29108,199.34756,5777.30216569301,46433,72027,115023,271504,55,223312,512977,33710,4518.30894710001,753644,74,21.79,51.06,100.39,NA
2024-2025,Aug,15,KARNATAKA,1511,DAKSHINA KANNADA,712259,346.376114794154,36,39,357.030593879,6794,0,12872,553739,29349,10431,32503,10460,188.23935,2463.289578179,15010,25261,64371,150169,110,169949,357444,19666,1918.0196343,291465,90,71.64,2.94,99.96,NA
2024-2025,Aug,15,KARNATAKA,1514,GADAG,2191734,330.708052113473,28,1090,1276.509516321,10995,0,12592,2488723,387112,56369,210033,26045,309.66239,9816.57926212099,85948,181993,122467,313054,63,165006,395461,23587,8230.40735579999,1236249,65,14.85,73.64,99.9,NA
2024-2025,Aug,15,KARNATAKA,1516,HASSAN,2404139,344.879209698527,30,364,1874.695056804,13914,2,28962,1955431,275192,68644,31757,6845,474.72264,9093.29267580401,63552,115657,161476,398764,144,280763,648861,42876,6743.87497900001,999608,77,53.17,22.86,99.98,NA
2024-2025,Aug,15,KARNATAKA,1519,KOLAR,2133359,343.541774562388,36,335,1428.570382913,9165,0,28302,1929332,501095,85259,124809,21875,257.73108,8314.36285291301,53567,83156,126643,317828,149,241923,580579,37467,6628.06139000001,1034001,63,40.63,29.44,99.93,NA
2024-2025,Aug,15,KARNATAKA,1522,MYSURU,1215287,347.888895673808,30,103,998.729665392998,14131,0,34132,1178103,209279,70196,139449,41732,298.06357,5395.282751993,38278,67306,141532,362668,173,346151,846315,48263,4098.4895166,608629,80,36.41,21.77,100.11,NA
2024-2025,Aug,15,KARNATAKA,1524,SHIVAMOGGA,1715816,324.587896460109,23,387,954.083882977,8086,0,15402,1441570,334179,83319,78316,18540,295.50556,5928.751181977,61413,103005,144759,371221,74,247910,569371,23488,4679.161739,798257,76,33.48,47.62,100,NA
2024-2025,Aug,15,KARNATAKA,1531,VIJAYANAGARA,5081394,306.059692888949,41,1215,2148.059686153,13559,0,19348,5312964,1304643,115065,1220221,93634,81.19368,18490.0946678534,126593,242308,173787,460003,1114,250253,646649,32907,16260.8413017004,2770004,53,12.17,67.79,100.06,NA
2024-2025,Aug,15,KARNATAKA,1501,BAGALKOTE,2766276,322.17353631861,27,1761,1584.850233131,7952,0,18736,2227797,376196,58463,190533,25819,447.14518,9209.3677900309,81303,137111,152092,334926,117,273809,555021,26688,7177.3723768999,1241306,57,32.87,50.91,99.79,NA
2024-2025,Aug,15,KARNATAKA,1502,BENGALURU,41899,315.558567189926,30,10,24.959513226,682,4,2031,28985,5755,2693,525,286,26.67756,143.101723926,951,1590,5896,13484,8,62698,140530,2713,91.4646507,16323,85,51.39,21.89,99.74,NA
2024-2025,Aug,15,KARNATAKA,1513,DHARWAR,1381457,344.133628806673,29,157,1046.525113187,10470,0,32417,1100009,94964,19312,69734,14920,212.45352,5044.479522087,36964,64322,83341,218358,64,170210,405149,42887,3785.5008889,514194,74,36.88,30.59,99.98,NA
2024-2025,Aug,15,KARNATAKA,1514,GADAG,2191734,330.914264299758,29,1090,1276.509516321,11158,0,12500,2495969,388862,55979,210756,25882,309.66239,9845.68935982104,86016,182127,122285,311255,63,164828,393662,23658,8259.51745350003,1240040,65,14.91,73.49,99.87,NA
2024-2025,Aug,15,KARNATAKA,1517,HAVERI,2558163,334.282676399501,35,420,1540.55175395,16837,0,28175,2614860,376152,54511,357648,43921,308.11372,10589.68946605,73101,134738,153876,375194,252,272539,620739,45012,8741.0239921,1289376,68,33.18,42.1,100.07,NA
2024-2025,Aug,15,KARNATAKA,1518,KODAGU,270146,329.204575468912,32,71,185.306237513,3027,1,3845,253939,22445,7077,11049,3744,91.7596,1113.044644413,7713,12796,28145,67388,21,87884,191550,6872,835.978806900001,131208,78,52.65,18.67,99.84,NA
2024-2025,Aug,15,KARNATAKA,1521,MANDYA,1237300,337.921398995438,24,253,1173.659826118,9422,0,27279,1062155,133868,39466,6781,2437,276.60757,5039.516431618,43715,64026,139186,340042,37,347345,753301,36701,3589.2490355,657574,70,40.25,38.04,99.92,NA
2024-2025,Aug,15,KARNATAKA,1526,UDUPI,444536,347.3666814228,32,35,590.361165689,5013,0,13234,431459,19092,6097,16536,6207,135.0927,2224.198675689,13178,22012,45419,108410,111,123559,251371,18247,1498.74481,278872,90,69.07,6.65,99.86,NA
2024-2025,Aug,15,KARNATAKA,1528,CHIKKABALLAPURA,1708529,338.348401139631,29,1502,1669.972498355,9675,0,25993,1220044,246764,76343,165898,46484,250.7229,6048.694765555,41490,69323,131331,330379,88,222740,537050,35668,4127.9993672,651655,77,43.48,24.68,99.91,NA
2024-2025,Aug,15,KARNATAKA,1530,Yadgir,2354527,333.915889385422,25,473,436.774043556,18165,0,26326,2039695,386223,65334,251300,36048,0,7247.63974355598,81070,124027,153219,304525,48,273411,543102,44491,6810.86569999998,1101846,79,43.89,49.98,99.81,NA
2024-2025,Aug,15,KARNATAKA,1531,VIJAYANAGARA,5081394,306.49259570769,42,1218,2148.059686153,13665,0,19336,5337581,1311476,115110,1223329,93631,81.19368,18588.5439210535,126801,242756,173834,460095,1127,250303,646701,33001,16359.2905549004,2783279,53,12.29,67.62,100.04,NA
2024-2025,Aug,15,KARNATAKA,1514,GADAG,2191734,330.844627416252,28,1090,1276.509516321,11075,0,12549,2493171,387943,56053,210429,25927,309.66239,9834.69421212103,85985,182068,122324,311626,63,164857,394010,23624,8248.52230580003,1238864,65,14.87,73.55,99.87,NA
2024-2025,Aug,15,KARNATAKA,1516,HASSAN,2404139,342.667724728002,31,364,1874.695056804,14257,2,29037,1991463,278797,68685,32131,6844,474.72264,9173.51864770401,64070,116654,161551,398923,146,280791,648906,43294,6824.10095090001,1017985,77,53.48,22.73,99.82,NA
2024-2025,Aug,15,KARNATAKA,1520,KOPPAL,5236020,305.943280920316,32,3153,1172.405257647,13873,0,26430,5664624,997586,98179,842094,80542,534.30882,19037.2505950467,175095,361917,223640,577213,200,324959,846119,40303,17330.5365173997,2996612,56,27.98,61.49,99.8,NA
2024-2025,Aug,15,KARNATAKA,1525,TUMAKURU,2259531,345.774019454193,31,376,4147.988075865,34319,0,48666,2390847,334351,78418,201514,40263,496.80204,12911.717886765,76417,130656,209395,499794,288,398115,879891,82985,8266.9277709,1231675,84,39.72,36.73,99.74,NA
2024-2025,Aug,15,KARNATAKA,1526,UDUPI,444536,347.897900952505,32,35,590.361165689,4952,0,13280,429814,19007,6090,16520,6207,135.0927,2220.767749689,13126,21930,45400,108377,111,123547,251344,18232,1495.313884,277705,90,69.03,6.63,99.86,NA
2024-2025,July,15,KARNATAKA,1501,BAGALKOTE,2355461,319.096073800154,23,1596,1436.587183335,6815,0,18706,1764793,286683,57926,135828,25650,324.88923,7392.86158703494,74030,123947,151168,332467,43,272848,552674,25521,5631.38517369994,989825,56,32.27,52.47,99.86,NA
2024-2025,July,15,KARNATAKA,1512,DAVANAGERE,1252590,334.567327622534,27,187,1851.589594063,8302,0,14158,1241157,326356,64738,245685,44092,210.17207,6214.26747056301,44413,74995,118858,280329,93,238276,523268,22460,4152.50580650001,675667,77,31.39,46.57,99.91,NA
2024-2025,July,15,KARNATAKA,1514,GADAG,2006215,329.69128447035,28,1060,1133.448280087,10108,0,12588,2366454,363424,56398,200334,26018,224.09806,9159.53892908699,84357,178782,122348,312954,46,164770,395203,22696,7801.99258899998,1166999,64,13.08,79.3,99.88,NA
2024-2025,July,15,KARNATAKA,1518,KODAGU,231130,335.147065753163,29,60,147.144180042,2606,1,3911,198211,18410,7025,8700,3724,75.14455,886.587080542001,6709,11127,27927,66893,6,87791,191353,6517,664.298350500001,102317,79,51.4,19,99.93,NA
2024-2025,July,15,KARNATAKA,1519,KOLAR,1711500,342.948891313305,31,267,1244.415769718,8245,0,27828,1461062,379503,85086,91623,21855,257.73108,6512.842780118,46872,71790,126136,317443,77,239271,578718,36073,5010.6959304,782634,63,40.18,33.49,99.86,NA
2024-2025,July,15,KARNATAKA,1520,KOPPAL,4821340,300.420348681551,29,3081,1111.284657436,10386,0,28724,5079764,881031,98107,764993,80683,469.17407,16841.1034484359,171077,352039,222990,577021,127,324460,846731,39110,15260.6447209999,2692646,55,27.1,67.43,99.87,NA
2024-2025,July,15,KARNATAKA,1521,MANDYA,933634,327.311868415319,19,210,1060.330934293,7629,0,27732,711405,90758,39168,4200,2403,236.64488,3625.488811793,36508,52490,138167,337776,17,347555,754105,35361,2328.5129975,441221,70,39.33,38.45,99.99,NA
2024-2025,July,15,KARNATAKA,1523,RAICHUR,6835843,269.309124784801,33,972,2039.07331292,13268,0,34174,7250811,1280957,123855,1734338,153009,434.23751,22000.4064668201,215218,422149,279888,652113,179,369909,831561,47442,19527.0956439001,3814937,54,19.06,70.62,99.84,NA
2024-2025,Sep,15,KARNATAKA,1511,DAKSHINA KANNADA,825146,345.440635134024,38,40,357.030593879,7145,0,12942,595827,31259,10438,34934,10478,188.23935,2603.498516979,15679,26500,64539,150289,123,169869,357119,20087,2058.2285731,313476,90,71.79,3.13,99.85,NA
2024-2025,Sep,15,KARNATAKA,1513,DHARWAR,1569448,343.612077375507,30,159,1046.525113187,10829,0,32235,1129117,98447,19260,70869,14892,212.45352,5138.761012887,37382,65141,83389,218063,67,170189,404663,43064,3879.7823797,527832,74,37.11,30.6,99.98,NA
2024-2025,Sep,15,KARNATAKA,1525,TUMAKURU,2784264,346.826096778653,32,393,4147.988075865,36466,0,47413,2531550,352785,78438,213147,40283,496.80204,13424.866168865,78608,134686,209650,499612,372,398095,879055,83879,8780.076053,1303694,84,40.15,36.71,99.78,NA
2024-2025,Sep,15,KARNATAKA,1527,UTTARA KANNADA,1016899,343.476735724365,27,99,744.516118231,7016,0,21558,885057,53073,14673,35533,7977,270.57729,4055.058301131,32496,53978,87226,219058,38,204217,452020,28574,3039.9648929,483602,79,31.11,28.11,99.92,NA
2024-2025,Sep,15,KARNATAKA,1506,BIDAR,3287774,344.684288106642,36,456,3001.062456421,16556,0,46415,3825278,894648,79151,691543,53214,393.75224,16579.946938821,104079,161267,154193,304202,158,254591,477279,62971,13185.1322424,2082431,60,38.74,31.65,99.73,NA
2024-2025,Sep,15,KARNATAKA,1509,CHIKKAMAGALURU,1591131,342.595422288866,35,119,2087.693180156,10363,0,19415,1398474,202144,41617,44556,8299,326.93409,7205.735176056,39030,69244,90472,221751,174,177727,397674,29778,4791.1079059,768514,71,39.84,23.14,99.83,NA
2024-2025,Sep,15,KARNATAKA,1512,DAVANAGERE,1962721,338.244238399083,30,206,2106.962934451,9841,0,13827,1454863,378185,64796,276312,44015,321.92011,7349.87331855106,48445,82274,119443,280773,169,238543,522921,23668,4920.99027410006,783970,76,33.54,39.82,99.86,NA
2024-2025,Sep,15,KARNATAKA,1515,KALABURAGI,4087037,323.515414301443,23,532,2097.297804863,16652,0,36790,3267838,818788,138726,72639,10899,416.90874,13086.166189263,138933,233033,244506,536304,66,424805,887234,53442,10571.9596444,1827551,63,26.02,59.72,99.85,NA
2024-2025,Sep,15,KARNATAKA,1521,MANDYA,1489417,338.071558843803,24,254,1173.659826118,9725,0,27119,1090956,137530,39482,6962,2439,276.60757,5138.479351618,44121,64719,139232,340152,42,347318,753205,36844,3688.2119555,674294,70,40.14,38.09,99.95,NA
2024-2025,Sep,15,KARNATAKA,1523,RAICHUR,7802531,272.126905884109,38,1019,2372.55774809601,15260,0,34246,8742604,1539477,124159,2083880,153348,504.27552,26667.8110269963,225681,443336,281491,654427,504,371428,833771,49506,23790.9777589003,4581343,55,21.51,63.39,99.83,NA
2024-2025,Sep,15,KARNATAKA,1529,RAMANAGARA,2557035,347.73495732727,36,207,3271.398844673,20814,1,31490,1942107,277880,50411,32110,5243,304.06155,10328.8453423729,53457,86313,140640,313012,182,201040,429942,52304,6753.38494769993,1039371,82,42.21,29.02,99.81,NA
2024-2025,Aug,15,KARNATAKA,1502,BENGALURU,41899,314.943972787627,29,10,24.959513226,669,4,2016,27414,5490,2694,430,276,26.67756,137.975813926,928,1556,5880,13472,8,62689,140547,2685,86.3387407,15461,85,50.22,23.16,100.32,NA
2024-2025,Aug,15,KARNATAKA,1508,CHAMARAJA NAGARA,1370352,346.205266248973,27,334,1059.645658593,10609,0,23033,1292174,408535,79143,115164,29115,199.34756,5732.56765569301,46376,71914,115010,271497,51,223306,512992,33642,4473.57443710001,750082,74,21.82,51.07,100.4,NA
2024-2025,Aug,15,KARNATAKA,1512,DAVANAGERE,1605631,338.624534646575,29,203,2106.962934451,9673,0,13755,1411164,367805,64945,270579,44239,321.92011,7207.430572551,47681,80834,119383,281376,157,238556,523722,23428,4778.5475281,761946,76,32.59,40.68,99.95,NA
2024-2025,Aug,15,KARNATAKA,1513,DHARWAR,1381457,346.383304515368,29,156,1046.525113187,9828,0,33021,1064498,92316,19399,68226,14937,212.45352,4946.221982087,36481,63487,83323,218926,61,170214,405843,42849,3687.2433489,498334,74,36.94,30.33,100.03,NA
